Item ID, Profit, Weight
1,556,24
2,712,33
3,1947,29
4,939,33
5,570,15
6,843,46
7,844,30
8,920,22
9,745,31
10,825,23
11,322,23
12,1710,35
13,875,24
14,1889,31
15,1856,46
16,1488,46
17,974,29
18,556,37
19,1338,33
20,1773,47
21,989,31
22,934,26
23,818,43
24,1067,39
25,1764,24
26,862,29
27,907,48
28,306,38
29,1041,25
30,1918,40
31,286,30
32,954,33
33,906,22
34,929,43
35,1266,26
36,1468,15
37,1121,15
38,1092,31
39,1221,27
40,1039,24
41,684,29
42,551,31
43,1895,34
44,1246,30
45,475,22
46,1289,39
47,1048,39
48,1121,31
49,1288,46
50,857,23
51,1308,16
52,1643,29
53,894,34
54,413,39
55,928,26
56,1227,34
57,1266,39
58,110,30
59,1169,34
60,701,39
61,649,22
62,1272,36
63,1279,19
64,1763,44
65,1847,42
66,1141,27
67,247,33
68,528,31
69,938,18
70,684,21
71,1286,30
72,1984,36
73,128,21
74,845,32
75,648,24
76,1127,37
77,821,31
78,1117,21
79,970,40
80,734,25
81,110,35
82,824,44
83,1183,31
84,1054,50
85,174,49
86,819,44
87,1419,22
88,1063,46
89,2178,48
90,956,27
91,1656,50
92,748,46
93,1093,29
94,1123,33
95,1344,31
96,1262,47
97,846,25
98,1163,44
99,110,29
100,483,23
101,1264,42
102,110,40
103,1412,36
104,940,19
105,361,20
106,1050,50
107,775,35
108,110,32
109,977,34
110,1589,47
111,646,32
112,1450,42
113,895,39
114,1603,46
115,1309,31
116,362,40
117,1191,27
118,710,31
119,1452,36
120,1276,43
121,1637,31
122,417,38
123,212,36
124,698,34
125,1592,40
126,985,35
127,1299,38
128,1261,32
129,1055,27
130,784,37
131,1297,28
132,1189,36
133,1032,17
134,1494,32
135,816,28
136,1029,37
137,855,22
138,1203,38
139,1045,19
140,616,34
141,1438,37
142,776,35
143,474,25
144,790,40
145,1441,39
146,1022,40
147,587,18
148,924,42
149,1246,34
150,759,49
151,1714,43
152,1615,23
153,494,38
154,180,27
155,906,47
156,860,36
157,1013,29
158,1216,28
159,783,34
160,1074,38
161,110,34
162,1599,31
163,1002,32
164,1320,35
165,639,42
166,2317,29
167,1897,42
168,110,30
169,626,28
170,2063,30
171,887,48
172,1455,24
173,1610,40
174,920,34
175,661,33
176,1776,29
177,511,28
178,959,34
179,877,34
180,1315,15
181,351,29
182,839,33
183,1203,44
184,1891,36
185,916,39
186,809,42
187,1245,24
188,778,43
189,1463,29
190,767,37
191,1506,28
192,1155,34
193,518,23
194,1266,36
195,777,17
196,697,20
197,794,40
198,1936,29
199,1306,16
200,948,35
201,302,26
202,1331,42
203,1259,26
204,603,33
205,1370,33
206,979,27
207,725,33
208,689,37
209,1277,37
210,303,26
211,110,25
212,1010,43
213,522,29
214,905,27
215,1488,38
216,1610,50
217,1058,34
218,342,15
219,852,30
220,1097,37
221,664,50
222,1528,29
223,1140,31
224,309,33
225,1533,36
226,237,27
227,1538,31
228,1218,26
229,1276,50
230,1242,25
231,1636,28
232,527,36
233,611,39
234,1218,26
235,510,35
236,1156,20
237,1420,22
238,557,36
239,615,45
240,1132,28
241,518,33
242,1527,24
243,761,32
244,1535,41
245,1423,22
246,803,32
247,840,40
248,600,18
249,1287,23
250,226,17
251,1120,49
252,1543,29
253,1233,24
254,1859,39
255,1750,19
256,380,19
257,1330,33
258,131,33
259,867,24
260,1609,34
261,1547,26
262,978,18
263,1903,28
264,1772,18
265,110,35
266,1007,35
267,1318,43
268,781,50
269,1620,29
270,409,15
271,1214,20
272,1007,50
273,1402,19
274,425,50
275,535,24
276,358,31
277,309,21
278,1525,40
279,1042,27
280,1837,17
281,110,20
282,1165,23
283,552,33
284,1685,26
285,1044,27
286,882,25
287,110,33
288,1242,31
289,879,17
290,350,40
291,1242,35
292,1734,32
293,1434,31
294,1357,20
295,110,38
296,1690,30
297,923,27
298,857,27
299,710,23
300,364,27
301,1621,20
302,834,39
303,717,31
304,1952,22
305,461,26
306,153,33
307,1000,36
308,1911,30
309,713,36
310,833,36
311,1390,43
312,1049,28
313,1053,36
314,1129,40
315,1378,44
316,1000,32
317,714,30
318,1228,38
319,462,26
320,809,25
321,110,31
322,595,22
323,1037,23
324,1503,35
325,1693,18
326,679,31
327,539,47
328,230,23
329,110,39
330,616,31
331,996,36
332,1891,33
333,1908,24
334,659,41
335,110,38
336,494,43
337,958,19
338,810,40
339,1463,33
340,670,43
341,723,17
342,604,21
343,977,43
344,648,23
345,422,32
346,628,15
347,1277,45
348,1190,36
349,1129,31
350,1375,20
351,787,33
352,1447,29
353,1302,50
354,778,38
355,745,42
356,284,42
357,1393,37
358,375,34
359,346,46
360,2085,26
361,1067,27
362,636,33
363,758,28
364,1128,31
365,1003,31
366,1050,40
367,1324,25
368,383,27
369,1755,24
370,522,28
371,788,39
372,1228,27
373,624,37
374,1609,32
375,331,30
376,710,28
377,543,29
378,209,26
379,316,36
380,1046,50
381,512,16
382,770,27
383,1796,15
384,646,29
385,960,27
386,461,50
387,558,26
388,1060,29
389,1070,30
390,1439,36
391,603,18
392,1063,36
393,146,45
394,453,28
395,1089,27
396,713,36
397,1690,34
398,1015,34
399,1283,45
400,1018,20
401,1084,34
402,929,46
403,710,21
404,627,23
405,652,33
406,1378,18
407,2669,38
408,972,25
409,711,29
410,442,45
411,1814,36
412,300,19
413,216,15
414,372,45
415,1118,41
416,492,27
417,340,15
418,1268,33
419,1486,31
420,399,43
421,1195,38
422,404,29
423,1313,17
424,1000,29
425,1721,29
426,222,25
427,487,30
428,326,29
429,1163,30
430,1077,33
431,910,33
432,110,22
433,734,25
434,2653,26
435,1329,48
436,1242,37
437,1163,44
438,381,31
439,848,30
440,754,33
441,630,34
442,607,39
443,777,28
444,1194,34
445,1289,38
446,822,38
447,960,18
448,830,24
449,542,39
450,573,37
451,1037,27
452,962,25
453,1050,29
454,504,32
455,565,35
456,1929,27
457,906,28
458,1101,34
459,1155,34
460,1039,35
461,1478,19
462,1161,31
463,1910,33
464,698,25
465,1574,36
466,1103,31
467,906,25
468,1240,27
469,898,27
470,1520,35
471,2049,27
472,965,40
473,246,28
474,2331,39
475,167,15
476,1519,41
477,725,33
478,1217,31
479,1088,38
480,1004,29
481,1506,39
482,988,15
483,612,30
484,711,32
485,456,25
486,1207,26
487,1297,42
488,352,31
489,547,39
490,2102,27
491,436,39
492,970,30
493,1737,31
494,541,42
495,1320,24
496,829,31
497,1093,22
498,1115,18
499,2002,37
500,1939,36
501,914,30
502,1333,20
503,1776,31
504,1123,21
505,658,41
506,1052,24
507,710,38
508,1228,31
509,837,24
510,1475,32
511,658,36
512,1615,39
513,1165,34
514,839,48
515,1451,38
516,948,20
517,1224,50
518,1268,26
519,277,34
520,956,36
521,1258,43
522,348,21
523,110,29
524,1140,31
525,1368,31
526,1295,26
527,791,26
528,566,32
529,1297,20
530,1427,26
531,1095,44
532,500,35
533,1701,32
534,354,43
535,1315,26
536,1675,44
537,652,35
538,1012,33
539,1130,31
540,470,19
541,1438,19
542,1060,41
543,1716,30
544,2278,31
545,1474,36
546,202,49
547,741,35
548,1723,35
549,974,34
550,794,46
551,1555,41
552,951,18
553,1055,44
554,898,29
555,1207,42
556,156,15
557,569,45
558,1704,36
559,262,27
560,1289,15
561,1773,41
562,506,35
563,1392,33
564,750,18
565,992,35
566,1787,32
567,1068,49
568,594,38
569,479,43
570,889,35
571,1950,35
572,426,31
573,2180,31
574,870,36
575,1603,26
576,619,33
577,1511,32
578,385,17
579,692,35
580,906,47
581,845,23
582,935,47
583,872,26
584,594,32
585,962,35
586,730,31
587,1771,45
588,1001,21
589,1076,29
590,1634,44
591,939,38
592,1848,42
593,959,33
594,1794,33
595,110,24
596,1606,37
597,1393,23
598,743,32
599,1342,49
600,1400,36
601,270,20
602,776,39
603,245,22
604,110,30
605,955,40
606,922,23
607,1735,30
608,722,21
609,1206,28
610,110,30
611,764,24
612,1485,32
613,1544,45
614,1680,49
615,1086,41
616,630,50
617,881,34
618,245,24
619,318,29
620,733,33
621,725,42
622,1061,35
623,1411,33
624,1184,34
625,551,24
626,230,32
627,477,31
628,1160,33
629,1609,37
630,828,29
631,1792,21
632,586,24
633,719,30
634,972,28
635,1555,24
636,1403,23
637,1143,23
638,1900,40
639,501,39
640,1632,24
641,794,27
642,1304,27
643,1271,15
644,1460,29
645,589,17
646,1218,26
647,823,19
648,110,30
649,1142,35
650,1566,22
651,110,48
652,1509,33
653,1494,32
654,1392,37
655,1010,26
656,934,33
657,1540,26
658,110,49
659,1294,39
660,1597,37
661,2212,21
662,1474,29
663,959,16
664,1116,29
665,120,48
666,916,44
667,915,26
668,1542,25
669,1430,31
670,359,36
671,489,29
672,1203,37
673,353,29
674,1065,26
675,1783,15
676,508,26
677,930,36
678,541,40
679,1130,24
680,1134,40
681,716,24
682,1071,24
683,1570,30
684,724,21
685,1853,46
686,1017,50
687,992,37
688,1186,28
689,1466,36
690,1297,16
691,1021,31
692,1085,35
693,1087,24
694,440,27
695,1527,15
696,110,26
697,1117,37
698,1009,45
699,486,31
700,866,39
701,795,25
702,1314,31
703,1051,29
704,1701,22
705,1336,22
706,1104,40
707,1165,37
708,796,43
709,1655,31
710,1514,31
711,1216,36
712,234,39
713,1375,27
714,902,16
715,373,33
716,1572,39
717,1393,33
718,1408,34
719,1206,35
720,1141,35
721,1292,40
722,1019,43
723,1778,29
724,1211,35
725,851,18
726,650,36
727,1167,35
728,1308,41
729,1067,37
730,870,22
731,295,24
732,1505,17
733,1495,32
734,1269,32
735,1307,30
736,1621,31
737,773,27
738,522,44
739,1129,30
740,1251,31
741,1536,27
742,799,29
743,1903,25
744,573,31
745,1902,33
746,593,17
747,765,39
748,1279,29
749,1179,35
750,783,30
751,944,20
752,1514,19
753,336,39
754,1227,50
755,938,26
756,1061,33
757,993,17
758,1034,27
759,1349,28
760,2357,38
761,650,23
762,819,40
763,670,22
764,844,25
765,1335,36
766,470,41
767,482,26
768,1216,23
769,1306,38
770,1482,16
771,1347,21
772,1635,30
773,718,41
774,980,21
775,1154,39
776,576,21
777,190,23
778,579,26
779,1064,42
780,629,27
781,1559,33
782,158,37
783,493,28
784,521,44
785,585,43
786,1435,39
787,1341,40
788,154,18
789,388,33
790,1001,36
791,1708,30
792,1037,28
793,1323,34
794,1286,21
795,1080,35
796,110,39
797,821,20
798,1417,15
799,793,28
800,395,30
801,986,37
802,1028,26
803,1797,36
804,1055,26
805,433,23
806,1037,25
807,1288,24
808,794,45
809,969,25
810,1548,39
811,363,34
812,654,46
813,1560,24
814,837,29
815,861,32
816,1445,32
817,732,35
818,1778,36
819,932,28
820,1521,15
821,1487,15
822,461,36
823,170,33
824,2304,27
825,858,37
826,1206,39
827,668,39
828,949,36
829,939,44
830,1622,29
831,408,21
832,2217,40
833,1704,40
834,1402,37
835,334,21
836,120,40
837,627,42
838,284,17
839,705,27
840,1336,35
841,110,39
842,110,35
843,774,48
844,110,19
845,903,37
846,1170,24
847,110,22
848,1724,46
849,110,25
850,1972,35
851,1323,36
852,1091,38
853,551,36
854,1132,29
855,110,42
856,604,44
857,1374,38
858,1313,37
859,822,39
860,1015,50
861,952,32
862,445,27
863,973,31
864,1216,29
865,215,40
866,430,16
867,1562,36
868,1010,42
869,915,19
870,264,42
871,1613,37
872,2159,28
873,456,28
874,1619,42
875,602,22
876,1012,24
877,110,50
878,752,30
879,896,20
880,727,25
881,764,39
882,1644,50
883,1067,16
884,1053,20
885,1111,26
886,1040,33
887,722,30
888,837,37
889,2047,27
890,658,27
891,1444,40
892,887,15
893,2178,18
894,774,50
895,1224,34
896,410,28
897,1076,15
898,1141,38
899,1823,21
900,246,34
901,884,26
902,535,32
903,1776,31
904,110,32
905,1444,34
906,1442,31
907,197,27
908,904,32
909,497,20
910,1666,33
911,858,15
912,843,39
913,1419,24
914,1172,42
915,1740,34
916,329,31
917,1920,16
918,949,35
919,780,24
920,1494,26
921,147,41
922,1003,32
923,1564,22
924,1211,35
925,352,32
926,458,31
927,1288,49
928,364,25
929,2030,27
930,1209,50
931,721,45
932,2140,38
933,1060,27
934,1406,24
935,1371,39
936,611,22
937,353,42
938,1849,15
939,1708,21
940,554,37
941,344,39
942,110,43
943,1558,31
