session_id,keywords,video_viewcount,video_favourite_count,video_rating_count,video_rating_average,video_comments_count,like_count,dislike_count,uploader_followers_count,uploader_video_count,uploader_friends,uploader_views_count,uploader_age,max_quality,video_age
19,6,3360,9,1,5,0.1,1,0.1,32,7,1,509537,26,5,129.3679167
19,6,3496,9,1,5,0.1,1,0.1,32,7,1,516728,26,5,136.3714236
19,6,3653,9,1,5,0.1,1,0.1,32,7,1,522242,26,5,143.3749421
47,8,14,0.1,1,5,0.1,1,0.1,0.1,28,0.1,1220,20,2,13.44791667
47,8,14,0.1,1,5,0.1,1,0.1,0.1,28,0.1,1321,20,2,20.45537037
47,8,14,0.1,1,5,0.1,1,0.1,0.1,28,0.1,1386,20,2,27.4633912
16,6,120086,107,37,4.783784,14,35.000002,1.999998,25,12,0.1,129488,28,1,774.1572685
16,6,122000,109,38,4.7894735,14,35.99999825,2.00000175,26,12,0.1,131528,28,1,781.1611806
16,6,124113,110,38,4.7894735,14,35.99999825,2.00000175,26,12,0.1,133837,28,1,788.1664236
25,2,1450,1,2,3,0.1,1,1,2,12,0.1,22800,28,1,570.7067477
25,2,1470,1,2,3,0.1,1,1,2,12,0.1,23034,28,1,577.7114931
25,2,1492,1,2,3,0.1,1,1,2,12,0.1,23283,28,1,584.7173727
45,3,17,0.1,0.1,0.1,0.1,0.1,0.1,29,51,32,8668,20,1,481.8974537
45,3,17,0.1,0.1,0.1,0.1,0.1,0.1,29,51,32,8848,20,1,488.8995139
45,3,17,0.1,0.1,0.1,0.1,0.1,0.1,30,51,32,9060,20,1,495.902037
25,1,445,6,1,5,0.1,1,0.1,235,272,87,2701078,49,1,990.9610185
25,1,447,6,1,5,0.1,1,0.1,238,272,87,2750858,49,1,997.9679861
25,1,447,6,1,5,0.1,1,0.1,243,272,87,2800194,49,1,1004.971493
22,20,383,2,2,5,2,2,0.1,18,6,2,135792,30,3,16.22599537
22,20,441,2,2,5,2,2,0.1,19,8,2,137912,30,3,23.2312963
22,20,480,2,2,5,2,2,0.1,19,8,2,139576,30,3,30.23415509
40,11,44926,57,103,4.8834953,49,100,3,688,24,457,1116741,30,4,110.1402431
40,11,45600,58,103,4.8834953,49,100,3,700,24,457,1144726,30,4,117.1458912
40,11,46045,58,103,4.8834953,50,100,3,705,24,457,1165755,30,4,124.149294
25,4,509879,1149,260,4.8,126,247,13,41,2,0.1,625127,22,1,1536.758692
25,4,513095,1149,260,4.8,126,247,13,41,2,0.1,628343,22,1,1543.765313
25,4,516198,1161,263,4.8022814,126,250.0000021,12.99999795,42,2,0.1,631446,22,1,1550.772037
44,2,387308,632,293,4.645051,127,267,26,122,43,9,1769722,21,1,1015.765972
44,2,387463,632,293,4.645051,127,267,26,122,43,9,1787806,21,1,1022.775949
44,2,387574,630,293,4.645051,127,267,26,123,43,9,1804799,21,1,1029.783391
36,10,874668,1257,1338,4.7847533,1884,1265.999979,72.00002115,143442,598,12409,465297453,38,4,251.3475926
36,10,908889,1270,1374,4.778748,1901,1297.999938,76.000062,147317,599,12569,473719088,38,4,258.4249306
36,10,947134,1284,1394,4.773314,1935,1314.999929,79.000071,151239,600,12800,482771985,38,4,265.4269907
22,2,8641,20,38,4.894737,15,37,1,5,1,8,8641,26,1,17.04582176
22,2,9234,20,44,4.909091,15,43,1,6,1,8,9234,26,1,24.04859954
22,2,9866,22,46,4.9130435,16,45,1,7,1,8,9866,26,1,31.05346065
28,5,877,0.1,1,5,0.1,1,0.1,4,24,2,28863,26.9357713,3,57.67957176
28,5,902,0.1,2,5,0.1,2,0.1,4,24,2,29230,26.9357713,3,64.68408565
